ticker,cik,year_new,filing_date,risk_update_intensity,vagueness_ratio,risk_financing,risk_regulatory,beta,car_d-3,car_d-2,car_d-1,car_d+0,car_d+1,car_d+2,car_d+3
AMGN,318154,2017,2017-02-14,2,0.7777777777777778,3,1,1.1543750351270174,-0.009979228886101546,-0.010828964563354901,-0.009340452134892988,-0.010117070929383274,0.007992909619406744,0.01267869788022344,0.018720050405354904
AMGN,318154,2018,2018-02-13,0,,0,0,1.3958569659189901,0.024563333306214356,0.01002988978141824,0.000349340708658271,0.003069618952045958,0.011517397081172425,0.01937871034953561,0.019238110859732423
AMGN,318154,2019,2019-02-13,4,0.7142857142857143,1,1,0.8931416199891365,0.009009596094978667,0.006736482660143972,0.009884031535329917,0.010301342838111734,0.0070573146529478705,0.0062551564899571725,-0.003135588169045693
AMGN,318154,2020,2020-02-12,0,1.0,2,0,0.8048013136321255,-0.0049640827682444965,-0.01898254007183239,-0.015200693769498135,-0.029168470613314783,-0.03919557882656641,-0.03881076863588499,-0.045508454510873396
AMGN,318154,2021,2021-02-09,6,0.5555555555555556,4,1,0.881044053655954,-0.008744404023985148,-0.017279163308154495,-0.01999342872301184,-0.024096242452462703,-0.01556441649809244,-0.023571958065282374,-0.017840088365957796
AMGN,318154,2022,2022-02-16,8,0.6666666666666666,2,0,0.4845591888134587,0.005408080211575099,-0.0017567092301392865,-0.012211661028546398,-0.018521955031837286,-0.01307645219376458,-0.013606114377315653,-0.005708141664132787
AMGN,318154,2023,2023-02-09,8,0.4285714285714285,4,0,0.41596753750577564,-0.0028055392760834145,-0.007385679893074764,-0.01907050545847748,-0.016648265551038998,-0.007279625786635272,-0.0074391060434356275,-0.010308604295716194
SCHW,316709,2016,2016-02-24,1,0.8888888888888888,0,2,1.6405582751148229,0.012335651875162378,-0.006672851336744312,-0.003672626917804808,-0.03009603472358882,-0.03053267740034607,0.026240727521407284,0.02017222035026979
SCHW,316709,2017,2017-02-23,4,0.6666666666666666,4,1,1.34237996680344,-0.0038751211906767925,-0.0074652904315218385,-0.010282806163067306,-0.019517182026993235,-0.02459785226580504,-0.01351849955332816,-0.04023705910134283
SCHW,316709,2018,2018-02-22,1,1.0,1,0,1.2643647054219471,-0.005102184819622747,0.004524448745926718,0.007751076665282925,0.000732282186768048,-0.005731145543923479,-0.0011814268414649994,0.014415509062374654
