cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name
804328,QCOM,2022,2023,123,3,0.0,0.6666666666666666,127,0.7705,0.2779,0,0,3,0,0,0,0,Information Technology,Qualcomm Inc.
37996,F,2015,2016,8,5,0.375,0.625,8,0.6224,0.5,0,0,8,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2016,2017,0,0,,,0,0.3036,0.0,0,0,0,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2017,2018,26,5,0.038461538461538464,0.5,30,0.0224,1.0,0,0,6,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2018,2019,1,0,1.0,1.0,1,0.2178,0.3333,0,0,1,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2019,2020,10,6,0.4,0.4,11,0.3575,0.7857,0,1,9,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2020,2021,2,0,1.0,1.0,2,0.5318,0.25,0,0,2,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2021,2022,6,6,0.0,0.5,6,0.6451,0.4286,1,1,4,0,0,0,0,Consumer Discretionary,Ford Motor Co.
37996,F,2022,2023,0,0,,,0,0.6451,0.0,0,0,0,0,0,0,0,Consumer Discretionary,Ford Motor Co.
320187,NKE,2015,2016,66,0,0.09090909090909091,0.5,69,0.461,0.2233,1,0,0,0,2,1,2,Consumer Discretionary,Nike Inc.
320187,NKE,2016,2017,85,1,0.047058823529411764,0.6,93,0.2093,0.2862,4,0,0,0,0,1,0,Consumer Discretionary,Nike Inc.
320187,NKE,2017,2018,96,1,0.15625,0.6875,112,0.5231,0.3304,5,0,7,0,0,0,4,Consumer Discretionary,Nike Inc.
320187,NKE,2018,2019,70,0,0.14285714285714285,0.6,83,0.2209,0.2399,1,0,2,0,1,1,5,Consumer Discretionary,Nike Inc.
320187,NKE,2019,2020,137,12,0.0364963503649635,0.5882352941176471,144,0.196,0.3799,6,0,5,0,2,0,4,Consumer Discretionary,Nike Inc.
320187,NKE,2020,2021,91,5,0.06593406593406594,0.36363636363636365,95,0.1156,0.25,3,0,0,3,2,0,3,Consumer Discretionary,Nike Inc.
320187,NKE,2021,2022,95,5,0.10526315789473684,0.4666666666666667,97,0.3343,0.2443,3,1,6,1,1,0,3,Consumer Discretionary,Nike Inc.
320187,NKE,2022,2023,96,7,0.09375,0.6875,99,0.0668,0.2506,6,0,5,0,4,1,0,Consumer Discretionary,Nike Inc.
277948,CSX,2015,2016,22,1,0.045454545454545456,1.0,25,0.2685,0.2577,2,0,0,0,0,0,0,Industrials,CSX Corp.
277948,CSX,2016,2017,16,9,0.4375,0.625,18,0.1475,0.1765,7,0,5,0,2,2,0,Industrials,CSX Corp.
277948,CSX,2017,2018,25,3,0.08,0.6,28,0.6223,0.2745,3,0,0,1,0,1,0,Industrials,CSX Corp.
277948,CSX,2018,2019,13,5,0.6153846153846154,0.5384615384615384,17,0.3288,0.1753,7,0,3,0,1,2,0,Industrials,CSX Corp.
277948,CSX,2019,2020,16,12,0.25,0.75,19,0.4748,0.1939,6,0,5,2,1,1,1,Industrials,CSX Corp.
277948,CSX,2020,2021,23,2,0.043478260869565216,0.3333333333333333,23,0.2753,0.219,1,0,0,2,0,0,0,Industrials,CSX Corp.
277948,CSX,2021,2022,29,4,0.1724137931034483,0.6666666666666666,33,0.4246,0.2895,3,0,2,2,0,2,0,Industrials,CSX Corp.
