cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name,roa,rev_growth,leverage,current_ratio,log_assets,roa_t1,rev_growth_t1,leverage_t1,current_ratio_t1,annual_ret,annual_ret_t1
97745,TMO,2017,2018,44,22.0,0.5,0.4545454545454545,53,0.5291,0.2896,15,3,15,1,4,5,1,Health Care,Thermo Fisher Scientific,0.0522478304168445,0.1644516684195429,0.3151052781334471,1.728485440052058,10.93724126885574,0.0633082681009232,0.0486082601198785,0.3022729997773248,1.9191544295626917,0.1821449244212878,0.4554890217814453
97745,TMO,2018,2019,30,14.0,0.5333333333333333,0.4666666666666667,39,0.2081,0.2021,4,4,11,1,2,6,2,Health Care,Thermo Fisher Scientific,0.0633082681009232,0.0486082601198785,0.3022729997773248,1.9191544295626917,10.974745773415224,0.0923217285523953,0.2613734241641219,0.2857701442391241,2.1309200310559007,0.4554890217814453,0.437118921934074
97745,TMO,2019,2020,48,25.0,0.4791666666666667,0.6041666666666666,53,0.6694,0.2524,8,1,12,8,5,9,5,Health Care,Thermo Fisher Scientific,0.0923217285523953,0.2613734241641219,0.2857701442391241,2.1309200310559007,11.14261512293644,0.0812106430621406,0.2170525793034949,0.3525540615834235,1.496948496576362,0.437118921934074,0.4353857038654434
97745,TMO,2020,2021,56,30.0,0.4642857142857143,0.4821428571428571,59,0.1638,0.2622,17,2,5,6,8,18,0,Health Care,Thermo Fisher Scientific,0.0812106430621406,0.2170525793034949,0.3525540615834235,1.496948496576362,11.462926069975811,0.0715359120571463,0.1454693835913392,0.3110731416102271,1.4831863609641387,0.4353857038654434,-0.1728579588044268
97745,TMO,2021,2022,61,32.0,0.4754098360655737,0.5901639344262295,72,0.4002,0.2988,21,3,21,1,7,8,0,Health Care,Thermo Fisher Scientific,0.0715359120571463,0.1454693835913392,0.3110731416102271,1.4831863609641387,11.484052627401113,0.0607236189048477,-0.045819881999332,0.3297206409659056,1.7548529831572937,-0.1728579588044268,-0.033575238495431
97745,TMO,2022,2023,48,23.0,0.5208333333333334,0.5,53,0.2981,0.2255,14,1,11,5,9,8,0,Health Care,Thermo Fisher Scientific,0.0607236189048477,-0.045819881999332,0.3297206409659056,1.7548529831572937,11.50010361525017,0.0650938646335323,0.0005133350444501,0.3113408205834301,1.6604410441044104,-0.033575238495431,-0.0172152000734577
100885,UNP,2022,2023,32,23.0,0.28125,0.5,34,0.706,0.3063,14,4,2,2,2,8,0,Industrials,Union Pacific Corp.,0.0950217481975808,-0.030391959798995,0.4826461300125126,0.8123775949862906,11.11441610942807,0.0996381894705752,0.005431402628633,0.4532526028206453,0.7653216596878569,0.2152124666438749,-0.0512860922634143
354950,HD,2015,2016,57,36.0,0.3684210526315789,0.4912280701754385,58,0.3447,0.4113,32,12,5,3,0,4,1,Consumer Discretionary,Home Depot,0.1851929432574593,0.0686406308250207,0.520155471768375,1.2540861812778603,10.668164384234997,0.1938062835455545,0.0666948570220413,0.5449706932560803,1.1691367173027047,0.0354306394281933,0.4461205886236221
354950,HD,2016,2017,63,33.0,0.4761904761904761,0.5714285714285714,65,0.2021,0.4545,29,12,10,5,0,4,3,Consumer Discretionary,Home Depot,0.1938062835455545,0.0666948570220413,0.5449706932560803,1.1691367173027047,10.703895941292874,0.2527327682203486,0.072336081820344,0.6092084630593368,1.1084589614740368,0.4461205886236221,-0.0731587718677767
354950,HD,2017,2018,84,43.0,0.4880952380952381,0.5714285714285714,92,0.3161,0.538,38,11,20,7,2,2,4,Consumer Discretionary,Home Depot,0.2527327682203486,0.072336081820344,0.6092084630593368,1.1084589614740368,10.692013092394305,0.2194160355999687,0.0186870974002568,0.6584432820672964,1.078095238095238,-0.0731587718677767,0.30543751564919
354950,HD,2018,2019,76,36.0,0.5263157894736842,0.631578947368421,80,0.41,0.4278,41,8,11,6,1,5,4,Consumer Discretionary,Home Depot,0.2194160355999687,0.0186870974002568,0.6584432820672964,1.078095238095238,10.844197688951027,0.182287017752653,0.1985484236788388,0.5834148000170017,1.2292583959250627,0.30543751564919,0.2454955021656159
