gvkey,cik,fyear,datadate,ni,at,sale,dltt,act,lct,ceq,sich,roa,leverage,current_ratio,log_assets,rev_growth
010530,0000097745,2019,2019-12-31,3696.0,58381.0,25542.0,17647.0,11893.0,6197.0,29675.0,3826,0.06330826810092324,0.3022729997773248,1.9191544295626917,10.974745773415224,0.04860826011987851
010530,0000097745,2020,2020-12-31,6375.0,69052.0,32218.0,19733.0,21957.0,10304.0,34507.0,3826,0.0923217285523953,0.2857701442391241,2.1309200310559007,11.142615122936439,0.2613734241641219
010530,0000097745,2021,2021-12-31,7725.0,95123.0,39211.0,33536.0,20113.0,13436.0,40793.0,3826,0.0812106430621406,0.35255406158342356,1.496948496576362,11.462926069975811,0.21705257930349497
010530,0000097745,2022,2022-12-31,6950.0,97154.0,44915.0,30222.0,25229.0,17010.0,43978.0,3826,0.07153591205714639,0.3110731416102271,1.4831863609641387,11.484052627401113,0.1454693835913392
010530,0000097745,2023,2023-12-31,5995.0,98726.0,42857.0,32552.0,24589.0,14012.0,46735.0,3826,0.06072361890484776,0.32972064096590564,1.7548529831572937,11.50010361525017,-0.04581988199933207
010530,0000097745,2024,2024-12-31,6335.0,97321.0,42879.0,30300.0,22137.0,13332.0,49584.0,3826,0.06509386463353233,0.3113408205834301,1.6604410441044104,11.485770072224856,0.0005133350444501694
010867,0000100885,2014,2014-12-31,5180.0,52716.0,23988.0,11018.0,4679.0,3765.0,21189.0,4011,0.09826238713104181,0.20900675316791867,1.242762284196547,10.87267429376378,
010867,0000100885,2015,2015-12-31,4772.0,54600.0,21813.0,13607.0,4130.0,3206.0,20702.0,4011,0.0873992673992674,0.24921245421245422,1.2882096069868996,10.907789161732996,-0.09067033516758383
010867,0000100885,2016,2016-12-31,4233.0,55718.0,19941.0,14249.0,3596.0,3640.0,19932.0,4011,0.07597185828637065,0.25573423310240856,0.987912087912088,10.92805853349506,-0.08582038234080591
010867,0000100885,2017,2017-12-31,10712.0,57806.0,21240.0,16144.0,4006.0,3939.0,24856.0,4011,0.1853094834446251,0.27927896758121995,1.017009393247017,10.964847855501349,0.06514216939972917
010867,0000100885,2018,2018-12-31,5966.0,59147.0,22832.0,20925.0,4163.0,4626.0,20423.0,4011,0.10086733054930935,0.3537795661656551,0.8999135322092521,10.987781149608049,0.07495291902071566
010867,0000100885,2019,2019-12-31,5919.0,61673.0,21708.0,25414.0,3459.0,4351.0,18128.0,4011,0.09597392700209167,0.4120765975386312,0.7949896575499885,11.029601512821493,-0.04922915206727396
010867,0000100885,2020,2020-12-31,5349.0,62398.0,19533.0,26943.0,4214.0,4173.0,16958.0,4011,0.08572390140709638,0.431792685663002,1.0098250658998322,11.041288502561814,-0.10019347705914872
010867,0000100885,2021,2021-12-31,6523.0,63525.0,21804.0,28992.0,3551.0,5744.0,14161.0,4011,0.10268398268398268,0.45638724911452183,0.6182103064066853,11.059188808188365,0.11626478267547236
010867,0000100885,2022,2022-12-31,6998.0,65449.0,24875.0,32948.0,3952.0,5520.0,12163.0,4011,0.10692294763861938,0.5034148726489328,0.7159420289855073,11.089026492382516,0.14084571638231513
010867,0000100885,2023,2023-12-31,6379.0,67132.0,24119.0,32401.0,4148.0,5106.0,14788.0,4011,0.09502174819758089,0.48264613001251266,0.8123775949862906,11.11441610942807,-0.030391959798995005
010867,0000100885,2024,2024-12-31,6747.0,67715.0,24250.0,30692.0,4021.0,5254.0,16890.0,4011,0.0996381894705752,0.45325260282064533,0.7653216596878569,11.123063000089472,0.005431402628633064
011672,0000109198,2014,2015-01-31,2215.128,11128.381,29078.407,1684.597,6715.061,3929.634,4264.23,5651,0.1990521352566919,0.15137844399827793,1.708826063699571,9.317253970975477,
011672,0000109198,2015,2016-01-31,2277.658,11499.482,30944.938,1709.268,6772.56,4402.23,4307.075,5651,0.19806613897912967,0.14863869520383613,1.5384384732283414,9.350057269858592,0.06418958920273732
011672,0000109198,2016,2017-01-31,2298.234,12883.808,33183.744,2403.831,7750.774,4757.656,4510.599,5651,0.17838157786890332,0.18657767951835358,1.6291161025513405,9.463726608135767,0.07234805253124121
011672,0000109198,2017,2018-01-31,2607.948,14058.015,35864.664,2452.524,8485.727,5125.537,5148.309,5651,0.18551324635803845,0.1744573469298475,1.6555781374712544,9.55094797474339,0.0807901603869654
