ticker,permno,year,annual_ret,trading_days
INTC,59328,2020,-0.1469963710631561,253
INTC,59328,2021,0.06017039610682074,252
INTC,59328,2022,-0.46651371913903406,251
INTC,59328,2023,0.9463988486517338,250
INTC,59328,2024,-0.5955664380024525,252
JNJ,22111,2014,0.17335701090374753,252
JNJ,22111,2015,0.011572266274257155,252
JNJ,22111,2016,0.15322307764059642,252
JNJ,22111,2017,0.24404650545596585,251
JNJ,22111,2018,-0.051364435858343355,251
JNJ,22111,2019,0.16210755240871919,252
JNJ,22111,2020,0.10851588855085928,253
JNJ,22111,2021,0.1144862195157825,252
JNJ,22111,2022,0.059675615212207864,251
JNJ,22111,2023,-0.08603915367216419,250
JNJ,22111,2024,-0.04798328551326258,252
JPM,47896,2014,0.09880245125556862,252
JPM,47896,2015,0.08366744375379276,252
JPM,47896,2016,0.34565858688277284,252
JPM,47896,2017,0.2673166790481817,251
JPM,47896,2018,-0.0664592451833317,251
JPM,47896,2019,0.47267443395040704,252
JPM,47896,2020,-0.05517457453159299,253
JPM,47896,2021,0.277251098879401,252
JPM,47896,2022,-0.12610863371237083,251
JPM,47896,2023,0.30627570487195865,250
JPM,47896,2024,0.4427011700762253,252
LMT,21178,2014,0.3372781994533214,252
LMT,21178,2015,0.16185404165253728,252
LMT,21178,2016,0.18378445710446384,252
LMT,21178,2017,0.3175266046428703,251
LMT,21178,2018,-0.16335069062442883,251
LMT,21178,2019,0.5253368559322449,252
LMT,21178,2020,-0.0644686458735729,253
LMT,21178,2021,0.0318907699430654,252
LMT,21178,2022,0.40428917552272486,251
LMT,21178,2023,-0.043120464392363035,250
LMT,21178,2024,0.10027633595045866,252
LOW,61399,2014,0.4119374303796566,252
LOW,61399,2015,0.12141090178527889,252
LOW,61399,2016,-0.04875485005727631,252
LOW,61399,2017,0.33254831206818125,251
LOW,61399,2018,0.012244159092088935,251
LOW,61399,2019,0.32242760847113083,252
LOW,61399,2020,0.364100864663033,253
LOW,61399,2021,0.6333298369062799,252
LOW,61399,2022,-0.2149907624062366,251
LOW,61399,2023,0.14040783367846765,250
LOW,61399,2024,0.13024494861061106,252
MCD,43449,2014,-0.0011175844346955261,252
MCD,43449,2015,0.30420830149331546,252
MCD,43449,2016,0.06204021930872535,252
MCD,43449,2017,0.4502249787150919,251
MCD,43449,2018,0.05783090479476765,251
MCD,43449,2019,0.13971728675973294,252
MCD,43449,2020,0.11320282073203278,253
MCD,43449,2021,0.27806968923435565,252
MCD,43449,2022,0.005114481287926317,251
MCD,43449,2023,0.15048836044214353,250
MCD,43449,2024,0.001402202706266356,252
MDT,60097,2014,0.2813036551382586,252
MDT,60097,2015,0.08620482243942384,252
MDT,60097,2016,-0.05441444866586792,252
MDT,60097,2017,0.15886823401667846,251
MDT,60097,2018,0.15188442227030013,251
MDT,60097,2019,0.2733403183043515,252
MDT,60097,2020,0.0566802937181197,253
MDT,60097,2021,-0.09814922580294162,252
MDT,60097,2022,-0.22546850084680153,251
MDT,60097,2023,0.09606986805123124,250
MDT,60097,2024,0.002720506296171949,252
MET,87842,2014,0.02948066174402885,252
MET,87842,2015,-0.08296897393566957,252
MET,87842,2016,0.15963305228086722,252
MET,87842,2017,0.07861742439645816,251
MET,87842,2018,-0.15811846550032793,251
MET,87842,2019,0.2884982928713789,252
MET,87842,2020,-0.03536531379975018,253
MET,87842,2021,0.3734935455977236,252
MET,87842,2022,0.1924003136087132,251
MET,87842,2023,-0.055052876981645946,250
MET,87842,2024,0.27633321303406555,252
MMM,22592,2014,0.1999090427957624,252
MMM,22592,2015,-0.05908953354902177,252
MMM,22592,2016,0.2172062576321796,252
MMM,22592,2017,0.34915654371601645,251
MMM,22592,2018,-0.1690983271977318,251
MMM,22592,2019,-0.04258803787508815,252
MMM,22592,2020,0.027871260789133514,253
MMM,22592,2021,0.0487314357713751,252
MMM,22592,2022,-0.29598202426086295,251
MMM,22592,2023,-0.0332904655682075,250
MMM,22592,2024,0.44601367363118405,252
MRK,22752,2014,0.16948721865771038,252
MRK,22752,2015,-0.038723350675187826,252
MRK,22752,2016,0.15051438215014215,252
MRK,22752,2017,-0.014742108351172793,251
MRK,22752,2018,0.39996583566378624,251
MRK,22752,2019,0.22262718638180806,252
MRK,22752,2020,-0.07213906005965001,253
MRK,22752,2021,0.01942503300906175,252
MRK,22752,2022,0.49385569794009987,251
MRK,22752,2023,0.00995898108831885,250
MRK,22752,2024,-0.06257651246966833,252
MSFT,10107,2014,0.2754418946945338,252
MSFT,10107,2015,0.22695873162786837,252
MSFT,10107,2016,0.1506599971202405,252
MSFT,10107,2017,0.4071717415698629,251
MSFT,10107,2018,0.20798910455918385,251
MSFT,10107,2019,0.5757059565310401,252
MSFT,10107,2020,0.4253421694653498,253
MSFT,10107,2021,0.5247523542187332,252
MSFT,10107,2022,-0.2801618604934868,251
MSFT,10107,2023,0.5819200214925161,250
MSFT,10107,2024,0.12920836999346869,252
NKE,57665,2014,0.23759061097823725,252
NKE,57665,2015,0.31386362380888017,252
NKE,57665,2016,-0.17706436910177908,252
NKE,57665,2017,0.24702104489648433,251
NKE,57665,2018,0.19855802823104174,251
NKE,57665,2019,0.3810103433997135,252
NKE,57665,2020,0.4095937663264611,253
NKE,57665,2021,0.18698324021341017,252
NKE,57665,2022,-0.2903691003451828,251
NKE,57665,2023,-0.060434434518360884,250
NKE,57665,2024,-0.29099246834886927,252
ORCL,10104,2014,0.18977966031416918,252
ORCL,10104,2015,-0.17629325268233859,252
ORCL,10104,2016,0.06890897555587186,252
ORCL,10104,2017,0.24935037341598923,251
ORCL,10104,2018,-0.02973146785454228,251
ORCL,10104,2019,0.19334514874037756,252
ORCL,10104,2020,0.24215561572038632,253
ORCL,10104,2021,0.3686797906005249,252
ORCL,10104,2022,-0.046472346303779125,251
ORCL,10104,2023,0.30941431386728874,250
ORCL,10104,2024,0.5999140156733734,252
PFE,21936,2014,0.05301579716691448,252
PFE,21936,2015,0.07102121397089364,252
PFE,21936,2016,0.04462887400090445,252
PFE,21936,2017,0.15882584207762673,251
PFE,21936,2018,0.2481918748568482,251
PFE,21936,2019,-0.06918873859893447,252
PFE,21936,2020,0.022781420191249388,253
PFE,21936,2021,0.6673976889789257,252
PFE,21936,2022,-0.10424435355412161,251
PFE,21936,2023,-0.41224524547573443,250
PFE,21936,2024,-0.022379930137103075,252
QCOM,77178,2014,0.022577413014231423,252
QCOM,77178,2015,-0.30639611675286454,252
QCOM,77178,2016,0.3511240468490672,252
QCOM,77178,2017,0.02034515121738234,251
QCOM,77178,2018,-0.07592426068366255,251
QCOM,77178,2019,0.6067070437697666,252
QCOM,77178,2020,0.770039173362017,253
QCOM,77178,2021,0.222798722980995,252
QCOM,77178,2022,-0.3860984846610319,251
QCOM,77178,2023,0.35066981508172884,250
QCOM,77178,2024,0.08331811655736683,252
SBUX,77702,2014,0.06240223482710422,252
SBUX,77702,2015,0.4821353918543934,252
SBUX,77702,2016,-0.061217115041025325,252
SBUX,77702,2017,0.05366963136027797,251
SBUX,77702,2018,0.14751078661903985,251
SBUX,77702,2019,0.39071423535787614,252
SBUX,77702,2020,0.2416569443534324,253
SBUX,77702,2021,0.11164207892658934,252
SBUX,77702,2022,-0.13176778119731192,251
SBUX,77702,2023,-0.011866100805829177,250
SBUX,77702,2024,-0.024930070786419796,252
SCHW,75186,2014,0.17172545188659452,252
SCHW,75186,2015,0.09916405569852861,252
SCHW,75186,2016,0.21016089444663205,252
SCHW,75186,2017,0.31159832016694416,251
SCHW,75186,2018,-0.18426748758527822,251
SCHW,75186,2019,0.1636064613531443,252
SCHW,75186,2020,0.13586080821826033,253
SCHW,75186,2021,0.6021306622169932,252
